stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard,source_signal_profile,derived_lane,orientation
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-14,22:14:37,Cameron Norrie,Ethan Quinn,Clay,ATP,ATP500,high,,,1.971,1.893,9.67,-16.03,P1+,9.67,spread,-2.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-15,27851,82269,27851,82269,2026-04-16T23:05:15+00:00,,,,,3,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-16,23:04:38,Alexander Zverev,Francisco Cerundolo,Clay,ATP,ATP500,high,,,1.971,1.901,12.46,-18.37,P1+,12.46,spread,-3.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,24008,52279,24008,52279,2026-04-17T23:01:36+00:00,,,,,8,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-16,23:04:38,Flavio Cobolli,Vit Kopriva,Clay,ATP,ATP500,high,,,2.0,1.877,9.77,-15.32,P1+,9.77,spread,-3.5,2.0,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,67546,42971,67546,42971,2026-04-17T23:01:36+00:00,,,,,7,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-17,09:09:56,Tomas Machac,Andrey Rublev,Clay,ATP,ATP500,medium,,,1.971,1.917,-12.98,7.06,P2-,7.06,spread,1.5,1.917,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-17,58327,29372,29372,58327,2026-04-17T23:01:36+00:00,,,,,-5,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-17,09:09:56,Alexander Zverev,Francisco Cerundolo,Clay,ATP,ATP500,high,,,1.971,1.917,12.73,-17.94,P1+,12.73,spread,-3.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,24008,52279,24008,52279,2026-04-17T23:01:36+00:00,,,,,8,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-17,09:09:56,Flavio Cobolli,Vit Kopriva,Clay,ATP,ATP500,high,,,1.926,1.962,8.32,-14.15,P1+,8.32,spread,-3.5,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,67546,42971,67546,42971,2026-04-17T23:01:36+00:00,,,,,7,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-19,23:46:29,Arthur Gea,Vilius Gaubas,Clay,ATP,Masters 1000,high,,,1.917,1.901,-15.1,5.91,P2-,5.91,spread,1.0,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-20,87277,79088,79088,87277,2026-04-21T09:08:57+00:00,,,,,-6,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-21,09:45:51,Adolfo Daniel Vallejo,Henrique Rocha,Clay,ATP,Masters 1000,high,,,1.935,1.901,14.02,-21.91,P1+,14.02,spread,-3.5,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-21,80391,83794,80391,83794,2026-04-21T23:09:35+00:00,,,,,7,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-21,23:09:01,Yannick Hanfmann,Marcos Giron,Clay,ATP,Masters 1000,medium,,,1.99,1.862,5.6,-12.61,P1+,5.6,spread,-3.5,1.99,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-23,14856,18736,14856,18736,2026-04-23T23:01:02+00:00,,,,,3,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
2.0,200.0,flat_spread,clay_fav_hc_internal,2026-04-22,22:59:51,Nicolai Budkov Kjaer,Reilly Opelka,Clay,ATP,Masters 1000,medium,,,1.952,1.901,-13.35,5.71,P2-,5.71,spread,0.5,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,104215,28087,104215,28087,2026-04-23T23:01:02+00:00,,,,,2,,,,,spread_v1_shadow,spread_v1_shadow_favorite_handicap,favorite_handicap
