method,profile,segment,date,tournament,round,series,confidence,player1,player2,side,value_pct,odds,won,stake,flat_pnl,tier_pnl
current,hard_edge10_all,Hard|all|high+medium,2022-01-04,Adelaide International 1,1st Round,ATP250,medium,Corentin Moutet,Holger Rune,P1,65.268,2.6600,1,2.00,1.6600,3.3200
current,hard_edge10_all,Hard|all|high+medium,2022-01-04,Adelaide International 1,1st Round,ATP250,medium,Juan Manuel Cerundolo,Alex Bolt,P1,13.052,2.8700,1,1.00,1.8700,1.8700
current,hard_edge10_all,Hard|all|high+medium,2022-01-04,Melbourne Summer Set,1st Round,ATP250,medium,Botic Van De Zandschulp,Adrian Mannarino,P2,20.413,2.7700,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-05,Melbourne Summer Set,1st Round,ATP250,high,Alexei Popyrin,Stefano Travaglia,P2,44.275,2.5300,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-05,Melbourne Summer Set,1st Round,ATP250,medium,Alex Molcan,Andreas Seppi,P2,20.171,2.2500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-06,Adelaide International 1,2nd Round,ATP250,high,Karen Khachanov,Steve Johnson,P2,26.245,3.9900,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-06,Melbourne Summer Set,2nd Round,ATP250,medium,Alex Molcan,David Goffin,P2,31.778,2.3800,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-07,Adelaide International 1,Quarterfinals,ATP250,high,Thanasi Kokkinakis,Mikael Ymer,P2,23.814,2.3300,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-07,Adelaide International 1,Quarterfinals,ATP250,high,Marin Cilic,Laslo Djere,P2,17.070,3.8500,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-08,Adelaide International 1,Semifinals,ATP250,high,Karen Khachanov,Marin Cilic,P1,16.030,2.1600,1,1.50,1.1600,1.7400
current,hard_edge10_all,Hard|all|high+medium,2022-01-08,Melbourne Summer Set,Semifinals,ATP250,high,Maxime Cressy,Grigor Dimitrov,P1,17.813,3.3800,1,1.50,2.3800,3.5700
current,hard_edge10_all,Hard|all|high+medium,2022-01-08,Melbourne Summer Set,Semifinals,ATP250,medium,Rafael Nadal,Emil Ruusuvuori,P2,17.659,4.4200,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-11,Adelaide International 2,1st Round,ATP250,high,Thanasi Kokkinakis,Benoit Paire,P2,32.076,3.7400,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-11,Sydney Tennis Classic,1st Round,ATP250,medium,Dusan Lajovic,Alejandro Davidovich Fokina,P1,15.641,2.6700,1,1.50,1.6700,2.5050
current,hard_edge10_all,Hard|all|high+medium,2022-01-11,Sydney Tennis Classic,1st Round,ATP250,medium,Denis Kudla,Federico Delbonis,P2,18.468,1.9800,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-11,Sydney Tennis Classic,1st Round,ATP250,high,Miomir Kecmanovic,Stefano Travaglia,P2,19.029,2.2200,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-12,Adelaide International 2,2nd Round,ATP250,high,Thanasi Kokkinakis,John Isner,P2,14.232,2.1400,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-12,Adelaide International 2,2nd Round,ATP250,high,Aleksandar Vukic,Steve Johnson,P2,14.224,1.9600,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-12,Sydney Tennis Classic,2nd Round,ATP250,high,Andy Murray,Nikoloz Basilashvili,P2,149.429,3.6100,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-12,Sydney Tennis Classic,2nd Round,ATP250,high,Brandon Nakashima,Fabio Fognini,P2,11.781,2.6200,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-13,Adelaide International 2,Quarterfinals,ATP250,medium,Arthur Rinderknech,Karen Khachanov,P2,11.130,1.4300,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-13,Adelaide International 2,Quarterfinals,ATP250,high,Corentin Moutet,Thiago Moura Monteiro,P2,18.915,2.8700,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-13,Sydney Tennis Classic,2nd Round,ATP250,high,Maxime Cressy,Dusan Lajovic,P2,11.299,3.0100,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,high,Radu Albot,Yoshihito Nishioka,P2,11.663,1.9700,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,high,Dusan Lajovic,Marton Fucsovics,P1,17.679,3.4300,1,1.50,2.4300,3.6450
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,high,Oscar Otte,Chun Hsin Tseng,P2,21.900,3.7700,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,medium,Cristian Garin,Facundo Bagnis,P1,11.981,1.5200,1,1.00,0.5200,0.5200
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,high,Reilly Opelka,Kevin Anderson,P2,23.595,3.1100,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,high,Tallon Griekspoor,Fabio Fognini,P1,30.203,2.1400,1,2.00,1.1400,2.2800
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,high,Corentin Moutet,Lucas Pouille,P2,21.888,3.8600,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-17,Australian Open,1st Round,Grand Slam,medium,Adrian Mannarino,James Duckworth,P2,11.074,1.5400,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,high,Andy Murray,Nikoloz Basilashvili,P2,59.334,2.8000,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,high,Benoit Paire,Thiago Moura Monteiro,P1,17.180,3.6400,1,1.50,2.6400,3.9600
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,medium,Diego Sebastian Schwartzman,Filip Krajinovic,P2,28.351,3.8500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,medium,Pablo Andujar,Damir Dzumhur,P1,27.163,2.4000,1,2.00,1.4000,2.8000
